id,level,topic,title,words,sentences,average_sentence_words,maximum_sentence_words,grammar_status,syntax_status,structure_status,editorial_status,notes
"s1911","1","Fantasy/stories","The Moon in a Mug","52","7","7.4","9","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1912","1","Nature and animals","A Turtle Comes Up for Air","53","5","10.6","13","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1913","1","World affairs","A Bus Map for Everyone","46","6","7.7","12","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1914","1","Everyday life","The Blue Sock on the Stairs","44","6","7.3","12","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1915","1","History","Clay Held the First Marks","51","5","10.2","15","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1916","1","Science","Water Leaves a Leaf","54","6","9","15","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1917","1","Famous books","Peter Runs from the Garden","49","5","9.8","14","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1918","1","Travel and culture","Bread at Sun Street","50","6","8.3","11","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1919","1","People and biography","A Sign Maker Uses Clear Words","64","7","9.1","14","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1920","2","Fantasy/stories","The Umbrella That Hated Rain","45","6","7.5","10","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1921","2","Nature and animals","A Bat Listens for Dinner","53","6","8.8","14","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1922","2","World affairs","A Quiet Town Meeting","49","5","9.8","14","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1923","2","Everyday life","Toast for the Late Train","47","6","7.8","11","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
"s1924","2","History","Pompeii under Ash","54","5","10.8","15","pass","pass","pass","reviewed","Punctuation, capitalization, agreement-risk patterns, sentence boundaries, repetition, and level-sensitive sentence length passed automated checks and editorial reading."
