id,title,text_sha256,status,evidence,note
s001,Lantern Keeper,70f8f101a6750505c4f22ca1a41fe546e5ad5ef1b22a90e410782691155f96c7,language-revised,fact_check_all_2000.csv#s001,"Language revision; retained/simplified narrative or source plot. Prior factual provenance retained, not a new independent source audit."
s002,How an Octopus Changes Color,e38cea1f9cb68328f1a947f354dfd62a564498c020c71c696831a412732eae7c,institutional-source-verified-editorial-review-2026-09-26,https://ocean.si.edu/ocean-life/invertebrates/how-octopuses-and-squids-change-color,"The complete explanation accurately separates visible skin change from the unresolved question of how octopuses process visual information. Chromatophores, their pigment sacs, muscular control and additional reflective skin structures agree with the Smithsonian account; the cautious final paragraph avoids claiming human-like color vision."
s003,A City Without Cars,576efb474e9a73ab0a40ca0d900e96b4f7cbaa989f7b313ab666e8aa8b0857fb,authored-fiction-or-illustration,,"The original announces a fictional policy scenario but classifies it as nonfiction, then presents invented sales reports and a “real information” conclusion as if an actual trial had been measured. Recast it as an explicitly imagined city decision; keep the business, delivery and accessibility tradeoffs, and avoid claiming a single month proves an outcome."
s004,Last Seat on the Train,fba0057b083b1b05234fc709039f33de74f0317d4cac42f24eef3b8524eeb223,inherited-v2.9.4,fact_check_all_2000.csv#s004,Unchanged text; prior editorial claim retained. Not independently rechecked in this release.
s005,Girl Who Delivered Letters,5c9ca899345c4bee9612453d87e61ea1be52d1d22f151898f2003743f085e3c3,authored-fiction-or-illustration,,"Although labeled fictional, the original asserts that historians found records of a secretly employed woman rider and a later discovered letter. No source accompanies those claims. Make the rider, company, towns and letter expressly invented and remove the purported documentary discovery, while preserving a coherent historical-style narrative and the economic motive."
s006,Why Bread Rises,3f4ef3efb0920028e2428bd666febb6cf43a0e7670ed109e3d56801cff914739,institutional-source-verified-editorial-revision-2026-09-26,https://news.wsu.edu/news/2026/05/13/dr-universe-explains-why-bread-rises-in-the-oven/; https://med.stanford.edu/nutrition/education/Resources/Fermenting-the-Facts/the-science-of-fermented-foods.html,"The original correctly identifies yeast fermentation and gas retention, but describes yeast as eating sugar “in the flour,” treats oven rise as gas expansion alone, and says the outside simply hardens to lock the shape. Revise it to distinguish available sugars, proofing, gas and steam expansion, and the setting of starch and proteins during baking."
s007,Cartographer's Mistake,ae642e146dbd90d139b6294de3ec50a128d704908509a2cf01395f439c256abe,authored-fiction-or-illustration,,"The fictional mirage has a coherent series of independent sightings, investigation and tentative explanation, but the final instruction to trust a compass rather than one’s eyes wrongly implies a compass alone determines whether land exists. Clarify that observations and bearings must be checked across journeys; the optical explanation remains a possibility rather than a proven diagnosis."
s008,How Birds Can Change Their Migration Routes,1ac3bacacb1a22d08f2790d5f1530f34c2650660e2cb7ce89f73d5fb8a17f574,institutional-source-verified-editorial-review-2026-09-26,https://www.allaboutbirds.org/news/the-basics-how-why-and-where-of-bird-migration/,"The full passage presents migration as a flexible behavior shaped by inherited orientation, experience, weather, food, social learning and changing conditions rather than as a fixed map. Cornell Lab material supports independent juvenile migration, multiple navigation cues, individual weather-related variation, artificial-light hazards and modern tracking methods; the text appropriately warns against generalizing from one journey."
s009,The Fishing Village That Said No,59cf2b9b37e984cb415a57ab1257b71b19097c1780b806952423bb55b153de9a,authored-fiction-or-illustration,,"The original fictional scenario is classified as nonfiction and ends with invented economists studying a documented case; it also implies that rejecting a processing plant by itself prevents fish depletion. Recast the village and vote as expressly imagined, distinguish processing capacity from fishing limits, and include monitoring and the economic costs of the choice."
s010,Learning to Cook From Scratch,43af8d88efa15daee4a4d5fa041990657017fca08fb0d135683f8fd132de7e6b,authored-fiction-or-illustration,,"The original narrative is coherent but describes a fixed rice-to-water ratio and adding oil only after a pan is properly hot as universal cooking rules; these vary by rice, method and pan. Replace the broad rules with concrete recipe-following and observation, retain Priya’s gradual learning, and connect the final reflection to the dinner she actually makes."
