id,level,topic,title,text_sha256,words,sentences,maxSentence,averageSentence,low_frequency_pct,very_low_frequency_pct,frequency_terms,errors,flags,status
s343,1,Nature and animals,Cat Sleeps,cac5ad287e242cf3a776bd96bcf5590ba7957f594d71dcb7ed623280dd9ae6bd,55,12,6,4.58,10.91,0.0,sleeps (3); wakes (1); meow (1); eats (1),,low-frequency,needs-editorial-review
s344,1,Nature and animals,A Big Fish,2175ac0b4a9028e7b78e0f726976ccb77b174e0137257cfa9c44ff211a4a0957,63,12,10,5.25,7.94,0.0,swims (5),,low-frequency,needs-editorial-review
s369,1,Everyday life,The Red Umbrella,f0266755dbc16c35f784170b2bd6e18431c8ccc0caaec99f580af9b2c6ebfc0e,58,10,9,5.8,8.62,0.0,umbrella (4); smiles (1),,low-frequency,needs-editorial-review
s392,1,Science,Sun Is Hot,de1e5f87f5da8dfee65005dcec10a4bc7decc496324d3f4208787729a6587d64,59,7,15,8.43,5.08,0.0,warmth (1); sunlight (1); sun's (1),,low-frequency,needs-editorial-review
s415,1,Fantasy/stories,A Small Light in the Dark,665a81f50a8208308bd3654c58e0e5291bee80e6f0cb3c2f359bdc01ae02646c,71,12,8,5.92,5.63,0.0,mai (4),,low-frequency,needs-editorial-review
s425,1,Nature and animals,A Frog in the Pond,2bf6d60adb39c8b60482cbd92dbfed895b10f504703968f9c6c32b37841af698,64,11,12,5.82,23.44,0.0,frog (5); frogs (3); pond (2); waits (1); insect (1); jumps (1); catches (1); rests (1),,low-frequency,needs-editorial-review
s465,1,Science,Why We Blink,a497b348a94df54afaee3f85534526dccf51a25cda5baf5eded6878d576e0bff,53,7,10,7.57,9.43,0.0,blink (4); closes (1),,low-frequency,needs-editorial-review
s485,1,Fantasy/stories,Sleepy Moon,c7c147ececfbd0b83440dcdc9368c3692417e912ee4102a55e598088d75dbd01,33,6,7,5.5,9.09,0.0,sleepy (1); sings (1); smiles (1),,low-frequency,needs-editorial-review
s495,1,Nature and animals,A Duck on the Pond,ae8024949c4ccfed584548dfc7a17f409dd46b4a2cd89bff8b6c82bcf40b9b63,31,6,7,5.17,16.13,0.0,pond (2); swims (1); eats (1); ducks (1),,low-frequency,needs-editorial-review
s525,1,History,The Old Wagon,5891bf24a1a242970db6e819bb9852fe78d2e1aebc4d73d97db6fc9ac7f100a2,48,8,9,6,8.33,0.0,wagon (2); barn (1); remembers (1),,low-frequency,needs-editorial-review
s555,1,Fantasy/stories,The Fox With Two Tails,adb43bfb767376013915ddf48b30c2267dce0fc9e7812f3b62934f1807b71008,35,6,7,5.83,14.29,0.0,tails (3); foxes (2),,low-frequency,needs-editorial-review
s575,1,Nature and animals,A Rabbit in the Grass,80d6d6f4086d269b4f7f9126624b48aeded368459a4dcb1d808c0c71480af28f,31,7,6,4.43,9.68,0.0,hears (1); jumps (1); hides (1),,low-frequency,needs-editorial-review
s576,1,Nature and animals,The Little Ant,2f42417c9abc3115c35b6091d7c9bdf2daa20d1b0e81d3e09a2cde06b9cae813,33,7,7,4.71,12.12,0.0,ant (3); ants (1),,low-frequency,needs-editorial-review
s655,1,Science,Why We Sneeze,5357d4243ae89c04155ec768c8bc1d6801b55fc2e35dec23b496b82a13c4dafc,33,5,8,6.6,6.06,0.0,sneeze (2),,low-frequency,needs-editorial-review
s675,1,Famous books,The Ugly Duckling,fe0194de79651d3c43e684e597208a309882f4d4f808e55c5ac3fc25f98b200c,104,14,13,7.43,2.88,0.96,swam (1); duckling (1); swan (1),,very-low-frequency,needs-editorial-review
s676,1,Famous books,The Princess and the Pea,5d53e592357827f0d7a9704cf2be9c82f0bc428089abd7bd374ce40bc8dc66bc,97,12,12,8.08,6.19,0.0,pea (2); mattresses (2); rainy (1); blankets (1),,low-frequency,needs-editorial-review
s695,1,Fantasy/stories,The Blue Kite,33f8ffd147f19252f66df6df62376a3f9a6c03b58cc462220fc0e87733a2d5e9,78,11,9,7.09,11.54,0.0,mia (3); kite (3); smiles (2); lifts (1),,low-frequency,needs-editorial-review
s696,1,Fantasy/stories,The Little Red Boat,39a081a709055468dbbec73f299f0b9f2bebe6173f8fa510245b029442d9a33c,79,11,10,7.18,6.33,0.0,noah (4); catches (1),,low-frequency,needs-editorial-review
s697,1,Nature and animals,A Bird at My Window,9500744b3c7fef77a1273b0c40b1596b5092e3bbba7bcb3ca3771fe8c7135653,90,12,10,7.5,2.22,1.11,ken's (1); smiles (1),,very-low-frequency,needs-editorial-review
s698,1,Nature and animals,The Busy Ant Trail,8e6a29701deab17dbe2138a071e17fe9be429ad4e168cc456faa870e95ae2e4a,91,12,14,7.58,10.99,0.0,sara (4); ants (3); ant (3),,low-frequency,needs-editorial-review
s701,1,Everyday life,The Key Under the Chair,e979d7821840241e72504145f6f91c3304aba2fd7fea490ee6c4eda1145c544f,93,15,11,6.2,4.3,3.23,aya (3); smiles (1),,very-low-frequency,needs-editorial-review
s705,1,Science,Why Ice Melts,1048d51af7ad212584e8c4d48b71ad1f20f1a9778affcbe2651b5203ac662555,56,6,12,9.33,5.36,0.0,cube (2); melts (1),,low-frequency,needs-editorial-review
s706,1,Science,A Shadow Moves,a001aa3814b7f5108e09d5c203b538ca580de5c7c87695e18cbc91e6d075f0d6,71,9,16,7.89,1.41,1.41,sundials (1),,very-low-frequency,needs-editorial-review
s835,1,Fantasy/stories,The Blue Door,cb1ca6f95d3f65e1a7be827f3a2492ab9f21c7d1166f5e50fa37b7e24544c95c,69,11,10,6.27,8.7,1.45,nina (2); knocks (1); nina's (1); feather (1); smiles (1),,low-frequency;very-low-frequency,needs-editorial-review
s837,1,Fantasy/stories,The Talking Hat,f1132d5bb409df8f304f361ba9a5ec7c1b33d60481704bff587710d1772ae22e,74,12,10,6.17,6.76,0.0,mia (5),,low-frequency,needs-editorial-review
s839,1,Famous books,Heidi Finds a Home,c8803552795d4529a68ab88128b402409601a974aedf7b301535ecab746603ce,64,7,13,9.14,6.25,0.0,heidi (2); goats (1); hay (1),,low-frequency,needs-editorial-review
s841,1,Famous books,Pinocchio Tells the Truth,11aa4907a5f0a80523e036caf11497dae2afdcdda73cd4420fea1f4e23c48c70,66,10,10,6.6,7.58,7.58,pinocchio (3); woodpeckers (1); pecked (1),,low-frequency;very-low-frequency,needs-editorial-review
s842,1,Famous books,Dorothy Follows the Road,023c5a21a18c198ba3ea1b8ad3cb55b634dffbde4c7d299466eb30cbc1d454a7,55,10,7,5.5,7.27,0.0,dorothy (2); toto (1); straw (1),,low-frequency,needs-editorial-review
