id,level,topic,title,metric_status,lexical_flags,editorial_result,action,evidence_terms,editorial_note
s001,5,Fantasy/stories,Lantern Keeper,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s002,5,Nature and animals,Octopus Who Changed Color,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s003,5,World affairs,A City Without Cars,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s004,5,Everyday life,Last Seat on the Train,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s005,5,History,Girl Who Delivered Letters,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s006,5,Science,Why Bread Rises,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s007,6,Fantasy/stories,Cartographer's Mistake,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s008,6,Nature and animals,How Birds Can Change Their Migration Routes,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s009,6,World affairs,The Fishing Village That Said No,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s010,6,Everyday life,Learning to Cook From Scratch,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s011,6,History,Bridge Built in a Single Winter,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s012,6,Science,What the Brain Does During Sleep,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s013,7,Fantasy/stories,Clockmaker's Apprentice,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s014,7,Nature and animals,Leafcutter Ants and Their Fungus Garden,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s015,7,World affairs,When a River Crosses a Border,vocabulary-review,long-words,approved-after-review,retain-common-or-topic-words,downstream; frameworks; upstream; international; agricultural; challenges; countries; development; diplomatic; patterns,単一の長語率指標のみ超過。低頻度語率と極低頻度語率は基準内で、日常語または題材の理解に必要な語を文脈付きで維持。
s016,7,Everyday life,Apartment Above the Bakery,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
s017,7,History,Telegraph Operator Who Changed a War,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s018,7,Science,Spirals in Seashell Growth,within-guardrails,,pass,no-further-change,,事実確認後に語彙・文長を再計測。難語は題材理解に必要な語か、明示的な創作表示に限って確認済み。
s019,8,Fantasy/stories,Archivist's Debt,within-guardrails,,pass,no-further-change,,Level別の語彙・構文ガードレール内。
