id,level,topic,title,fact_check_status,fact_check_scope,source_title,source_url,checked_at,notes
"s1811","1","Fantasy/stories","The Pocket Cloud","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1812","1","Nature and animals","A Bee Carries Dust","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","USDA NRCS: Insects and Pollinators","https://www.nrcs.usda.gov/conservation-basics/animals/insects-pollinators","2026-09-14","Pollen transfer during flower visits and its role in seed or fruit production."
"s1813","1","World affairs","A School Table for All","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1814","1","Everyday life","The Last Clean Spoon","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1815","1","History","The Stone with Three Scripts","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","British Museum: Everything you ever wanted to know about the Rosetta Stone","https://www.britishmuseum.org/blog/everything-you-ever-wanted-know-about-rosetta-stone","2026-09-14","Discovery date, decree in three scripts, Greek text, and its role in reading Egyptian scripts."
"s1816","1","Science","Noon beneath the Tree","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","NASA Science: The Sun","https://science.nasa.gov/sun/","2026-09-14","Sunlight direction, Earth's rotation, and changing shadows during the day."
"s1817","1","Famous books","Mary Opens the Secret Garden","verified-against-primary-text","characters, sequence, principal action, outcome, and source-work attribution","Project Gutenberg: The Secret Garden","https://www.gutenberg.org/ebooks/17396","2026-09-14","Primary-text comparison completed. Characters, hidden garden, restoration, and the children's change."
"s1818","1","Mystery and adventure","The Wet Red Hat","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1819","1","Travel and culture","Soup at Moon Bay","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1820","1","People and biography","A Park Worker Fixes the Gate","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1821","2","Fantasy/stories","The Shoes That Waited","verified-no-external-claims","explicit fiction or hypothetical scenario; checked for accidental real-person, event, numerical, medical, historical, and time-sensitive claims","","","2026-09-14","No external proposition required verification; fictional status is explicit in the text, setting, content type, or character framing."
"s1822","2","Nature and animals","A Duck Stays Dry","verified-against-authoritative-source","factual statements, mechanism, causal strength, terminology, dates, and stated uncertainty","U.S. National Park Service: Anhinga","https://www.nps.gov/bicy/learn/nature/anhinga.htm","2026-09-14","Preening oil and water resistance in ducks and many other waterbirds."
