id,level,topic,title,text_sha256,words,sentences,maxSentence,averageSentence,low_frequency_pct,very_low_frequency_pct,frequency_terms,errors,flags,status
s001,5,Fantasy/stories,Lantern Keeper,70f8f101a6750505c4f22ca1a41fe546e5ad5ef1b22a90e410782691155f96c7,247,24,20,10.29,7.69,0.0,mara (6); lantern (6); smiled (2); other's (2); travelers (1); keepers (1); darkest (1),,,automated-screen-clear
s002,5,Nature and animals,How an Octopus Changes Color,e38cea1f9cb68328f1a947f354dfd62a564498c020c71c696831a412732eae7c,104,9,16,11.56,3.85,1.92,octopus (1); chromatophores (1); octopuses (1); unanswered (1),,,automated-screen-clear
s003,5,World affairs,A City Without Cars,576efb474e9a73ab0a40ca0d900e96b4f7cbaa989f7b313ab666e8aa8b0857fb,259,21,20,12.33,6.18,1.16,mina (4); mina's (2); vans (1); bookshop (1); feared (1); unusually (1); wheelchair (1); complained (1); busier (1); appointments (1); deliveries (1); journeys (1),,,automated-screen-clear
s004,5,Everyday life,Last Seat on the Train,fba0057b083b1b05234fc709039f33de74f0317d4cac42f24eef3b8524eeb223,257,21,25,12.24,3.52,0.0,noticing (2); weekday (1); unusually (1); rushed (1); headphones (1); thanked (1); resting (1); crowded (1),,,automated-screen-clear
s005,5,History,Girl Who Delivered Letters,5c9ca899345c4bee9612453d87e61ea1be52d1d22f151898f2003743f085e3c3,247,19,28,13,6.07,0.4,ada (6); scarce (1); town's (1); doubted (1); planks (1); farther (1); upstream (1); receipt (1); firewood (1); prouder (1),,,automated-screen-clear
s006,5,Science,Why Bread Rises,3f4ef3efb0920028e2428bd666febb6cf43a0e7670ed109e3d56801cff914739,189,18,20,10.5,20.11,3.17,dough (4); bubbles (4); yeast (3); loaf (2); dioxide (2); fermentation (2); gluten (2); expands (2); baker's (1); single-celled (1); fungus (1); sugars (1); gathers (1); stretchy (1); bakers (1),,low-frequency;very-low-frequency,needs-editorial-review
s007,6,Fantasy/stories,Cartographer's Mistake,ae642e146dbd90d139b6294de3ec50a128d704908509a2cf01395f439c256abe,271,22,24,12.32,8.86,3.32,elin (5); sailed (2); captains (2); mapmaker (1); sailors (1); coastlines (1); troubled (1); wooded (1); blamed (1); fog (1); sketched (1); bent (1); bearings (1); faded (1); sailor's (1),,very-low-frequency,needs-editorial-review
s008,6,Nature and animals,How Birds Can Change Their Migration Routes,1ac3bacacb1a22d08f2790d5f1530f34c2650660e2cb7ce89f73d5fb8a17f574,220,14,25,15.71,7.27,0.45,migratory (1); inherited (1); tendencies (1); storms (1); drought (1); resting (1); unfamiliar (1); shifting (1); seasonal (1); migrants (1); depart (1); varies (1); outpace (1); rigid (1); instinct (1),,,automated-screen-clear
s009,6,World affairs,The Fishing Village That Said No,59cf2b9b37e984cb415a57ab1257b71b19097c1780b806952423bb55b153de9a,282,22,27,12.82,3.9,0.35,tomas (3); leila (2); cove (1); catches (1); vague (1); fisheries (1); tomas's (1); cautious (1),,,automated-screen-clear
s010,6,Everyday life,Learning to Cook From Scratch,43af8d88efa15daee4a4d5fa041990657017fca08fb0d135683f8fd132de7e6b,248,21,21,11.81,8.87,3.23,priya (5); lena (3); relied (1); noodles (1); takeout (1); poured (1); guessed (1); yolk (1); borrowed (1); cookbook (1); lid (1); batch (1); practiced (1); gentler (1); priya's (1),,very-low-frequency,needs-editorial-review
s011,6,History,Bridge Built in a Single Winter,8e2254f1152c32f7b22b927ca7be59894855ede2f897ad36a544a51cc048e72d,269,18,26,14.94,6.32,1.12,mara (4); carts (2); walkway (2); alderford (1); carpenter (1); footbridge (1); foundations (1); jo's (1); slower (1); cracked (1); inspected (1); thaw (1),,,automated-screen-clear
s012,6,Science,What the Brain Does During Sleep,ecaa6ae5a6fefcff2067621449e46e5a539e27d699501a8c22d1d3c8667a6284,223,14,24,15.93,4.93,0.9,rem (1); vivid (1); dreaming (1); wakefulness (1); stabilize (1); glymphatic (1); nightly (1); differs (1); biologically (1); contributes (1); metabolism (1),,,automated-screen-clear
s013,7,Fantasy/stories,Clockmaker's Apprentice,e43da1b6c3439a03f9343a3b371027c2b7d6a67adf183fec0a58b3c436ec1abb,272,21,24,12.95,7.72,3.68,teodor (6); orin (3); astronomer (2); cathedral (1); clockmaker (1); repaired (1); clocks (1); apprentice (1); gears (1); observatory (1); reopened (1); engraved (1); smiled (1),,very-low-frequency,needs-editorial-review
s014,7,Nature and animals,Leafcutter Ants and Their Fungus Garden,9f0296e1fb221d3d8e38a5a6de2d5ebc00d211737da85a75f13b8fd1851c2179,224,15,25,14.93,11.61,0.89,ants (6); fungus (5); fungi (2); leafcutter (1); nests (1); digest (1); chew (1); cultivated (1); leafcutter-ant (1); compounds (1); parasites (1); evolutionary (1); resembles (1); arise (1); cultivation (1),,,automated-screen-clear
s015,7,World affairs,When a River Crosses a Border,581b0989cd8c3109b0b38a4c2389b54d727a8ac51ae0d0e5e78856a6aac3dc82,293,20,29,14.65,5.48,0.68,upstream (2); farther (1); downstream (1); irrigation (1); neighboring (1); disappears (1); crosses (1); river's (1); reservoir (1); disturb (1); habitat (1); watercourses (1); equitable (1); timely (1); ecosystems (1),,,automated-screen-clear
s016,7,Everyday life,Apartment Above the Bakery,6cbc162ca0cb8f4dd587c801b8343491f0660a858f37c9ebd947a8b19368f238,276,24,26,11.5,8.7,2.17,ilse (4); bakery (2); downstairs (2); mixer (2); bakers (1); vibrated (1); trays (1); rattled (1); bakery's (1); dismiss (1); baking (1); mat (1); thanked (1); other's (1); routines (1),,,automated-screen-clear
s017,7,History,Telegraph Operator Who Changed a War,4d9814c4d6aab4bfc86492e679e35dc0758d5eaeb6a2ab111d9a66866ccf4a84,263,20,25,13.15,7.98,1.9,whitfield (5); copied (2); wartime (1); wires (1); onward (1); occupy (1); commanders (1); unprepared (1); awaiting (1); incorrectly (1); farther (1); corrected (1); officer's (1); messenger (1); wording (1),,,automated-screen-clear
s018,7,Science,Spirals in Seashell Growth,a99fd03758ae508204806dea16ca38904dc0c7ebc10374f3fa5aaa068a1095b1,211,14,23,15.07,9.48,0.95,spiral (4); shells (2); develops (2); mathematicians (1); logarithmic (1); mollusk (1); discarded (1); rebuilt (1); equations (1); approximation (1); blueprint (1); storms (1); galaxies (1); rotating (1); recognizable (1),,,automated-screen-clear
s019,8,Fantasy/stories,Archivist's Debt,ba650b009e7c8a00c550c9abc390e63c05597c097145a197994dc5be981cb5c0,295,24,24,12.29,10.17,2.71,ilsabet (6); inherited (2); shelves (2); catalogue (2); archivist (1); scripts (1); paperwork (1); unsigned (1); cipher (1); overdue (1); evenings (1); decoding (1); displaced (1); diverted (1); legible (1),,,automated-screen-clear
s020,8,Nature and animals,Life Around Deep-Sea Hydrothermal Vents,fbafa08d1d0b149a492b555a85f56d662e3964f80cdff9bd5fe0f811d4f81266,227,17,22,13.35,14.16,3.1,vents (3); sunlight (3); hydrothermal (2); ecosystem (2); worms (2); vent (2); dense (1); webs (1); earth's (1); seawater (1); seafloor (1); dissolved (1); minerals (1); microorganisms (1); chemosynthesis (1),,,automated-screen-clear
s021,8,World affairs,Who Keeps the Digital Currency Record?,12c76ebdbdf1ee45c02c5f4186271cbe3394a27b5a8e286b73541310c1ee42ee,297,22,24,13.5,5.72,1.68,ledger (2); cryptocurrencies (1); network's (1); propose (1); currencies (1); cryptoasset (1); sharply (1); safeguard (1); unevenly (1); cyberattacks (1); consume (1); varies (1); regulate (1); cryptoassets (1); issuer (1),,,automated-screen-clear
s022,8,Everyday life,Neighbor Who Kept Score,4a374db1ece771bc8822b1e93585ef30be96c6cb71adfcff12264c5e8085d2cd,275,20,26,13.75,9.09,2.18,hendricks (5); renata (5); notebook (2); renata's (1); downstairs (1); recycling (1); handwriting (1); hers (1); outage (1); candles (1); kettle (1); stove (1); exits (1); stair (1); thanked (1),,,automated-screen-clear
s023,8,History,Committee That Erased Itself,20d13e3e7305af41623cab41ee606bdb6a2a8aa4d653362b41e5ab46604a3c5e,259,19,27,13.63,6.56,0.77,mira (3); greyport (1); rented (1); crowded (1); duplicate (1); recycled (1); committee's (1); searched (1); dispose (1); objected (1); council's (1); disposals (1); archive (1); catalogue (1); erase (1),,,automated-screen-clear
